corp_code,corp_name,corp_eng_name,stock_code
00240398,무한투자,"Muhan Investment Co., Ltd.",034510
00828309,동부티에스블랙펄기업인수목적,Dongbu TS Black Pearl Special Purpose Acquisition Company,128910
00349468,블루젬디앤씨,"BLUEGEM D&C CO., LTD.",053040
00808262,부국퓨쳐스타즈기업인수목적,Bookook Future Stars Special Purpose Acquisition Company LTD.,123300
00252393,예당컴퍼니,"YEDANG COMPANY CO., LTD.",049000
00229818,터보테크,"TURBOTEK CO., LTD",032420
00154189,케이비물산,KOREA BEST PRODUCE CORP,008540
00680161,연합과기공고유한공사,UNITED TECHNOLOGY HOLDINGS COMPANY LIMITED,900030
00102645,글로스텍,"GLOSTECH CO.,Ltd.",012410
00844884,중국고섬공고유한공사,China Gaoxian Fibre Fabric Holdings Ltd.,950070
00592592,코리아퍼시픽06호선박투자회사,"Korea Pacific No.06 Ship Investment Co., Ltd.",093410
00268437,나노트로닉스,"NanoTronix Co., Ltd",010670
00798284,미래에셋제1호기업인수목적,Miraeasset No.1 Special Purpose Acquisition Company,121950
00164195,에이원마이크로,"AONEMICRO, INC.",037380
00264811,에이프로테크놀로지,"APRO TECHNOLOGY CO.,LTD.",045470
00676380,모린스,"Moreens Co., Ltd",110310
00543231,디지텍시스템스,"DIGITECHsystemsCo.,Ltd.",091690
00122436,배명금속,"BAEMYUNG METAL CO.,LTD",011800
00505189,동북아4호선박투자회사,"Dongbuka No.4 Ship Investment Company Co., Ltd",080970
00271413,사라콤,"SARACOM CO., LTD",040020
00245296,폴리플러스,"Polyplus Co., Ltd",065610
00480905,영찬테크,"Young Chan Tech Co.,Ltd.",085990
00890333,케이비부국제1호개발전문위탁관리부동산투자회사,"KB-Bookook No.1 Development Cc., Ltd.",149130
00510534,아시아퍼시픽8호선박투자회사,"ASIA PACIFIC NO. 8 SHIP INVESTMENT CO.,LTD",081930
00150855,진흥저축은행,JINHEUNG SAVINGS BANK,007200
00173634,에듀언스,"EDUENCE CO.,LIMITED",009010
00830377,성융광전투자유한공사,SHENGLONG PV-TECH INVESTMENT CO. LIMITED,900150
00224567,샤인시스템,"SHINE SYSTEM CO., LTD.",066300
00582054,씨모텍,"C-motechCo.,LTD.",081090
00125929,에스컴,S Com Inc.,014900
00502793,아시아퍼시픽1호선박투자회사,AsiaPacificNo.1,080180
00505550,아시아퍼시픽3호선박투자회사,"ASIA PACIFIC NO. 3 SHIP INVESTMENT CO.,LTD.",081200
00104704,한국저축은행,KOREA SAVINGS BANK,025610
00361035,미리넷,"Millinet Co., Ltd.",056710
00630111,3노드디지탈그룹유한공사,"3NODDigitalGroupCo.,Ltd.",900010
00264802,유일엔시스,YOUILENSYS Corporation,038720
00399773,케이피케미칼,KP CHEMICAL CORP,064420
00257529,이루넷,"Iroonet,Inc.",041030
00804114,대신증권그로쓰알파기업인수목적,DAISHIN SECURITIES GROWTH ALPHA SPAC,123550
00416706,유에이블,"UABLE CO.,LTD.",071530
00173324,경윤하이드로에너지,"KyungYoon Hydro Energy CO.,LTD.",019120
00121729,롯데미도파,"LOTTE MIDOPA CO.,LTD",004010
00808226,한화에스브이명장제1호기업인수목적,Hanwha SV Meister 1st SPAC,124050
00162577,셀텍,"Cell Tech Co., LTD.",019260
00812229,에스비아이앤솔로몬드림기업인수목적,SBI and Solomon DREAM SPAC,123910
00351153,위다스,"Withus Co., Ltd.",056810
00126885,에스와이코퍼레이션,"SY Corporation Co., Ltd",008080
00264741,어울림네트웍스,"OULLIM NETWORKS, INC.",042820
00266989,에이디모터스,"AD Motors Co., Ltd.",038120
00260693,평안물산,"Pyeong Ahn Trading, Inc.",037240
00267951,아큐텍,"ACQUTEK CO.,LTD",013780
00804983,히든챔피언제1호기업인수목적,HiddenChampion 1st Special Purpose Acquisition Company,123160
00502474,동북아2호선박투자회사,DongbukaNo.2ShipInv,080030
00579379,금강제강,"KumKangsteel Co.,LTD",105070
00264857,아라온테크,"Araontech Co., Ltd.",041060
00375302,우리금융지주,"WooriFinance Holdings Co.,Ltd.",053000
00264848,대국,Daekuk Corporation,042340
00251190,글로웍스,"Gloworks Co.,Ltd.",034600
00694003,중국식품포장유한공사,"CHINA FOOD PACKAGING INC.,LTD",900060
