corp_name,corp_code,stock_code,ceo_name,industry_code,established_date,ir_url,corp_reg_number,business_no
삼성바이오로직스(주),00877059,207940,임존종보 (Rim John Chongbo),211,20110422,,1201110566317,1318627632
에스케이바이오사이언스(주),01319899,302440,안재용,211,20180701,,1311110523736,8188600991
계양전기(주),00102618,012200,임영환,291,19770427,www.keyang.co.kr,1101110212889,1048134422
이건산업(주),00145446,008250,백오현,16211,19721207,,1201110001959,1318106200
콜마홀딩스(주),00203290,024720,윤상현,64992,19900515,,1647110001591,3078102816
(주)주성코퍼레이션,00753643,109070,허용호,264,20090225,,1313110088017,1258179538
엘에스일렉트릭 주식회사,00105855,010120,"구자균, 채대석",28121,19740724,,1101110520076,1168119273
(주)휴니드테크놀러지스,00111421,005870,김유진,2642,19681211,,1341110005202,1238106174
대한전선(주),00113207,001440,송종민,28302,19550221,,1101110035835,1198110062
(주)다이나믹디자인,00453488,145210,황 응 연,292,19990402,,2001110097272,4108149892
KR모터스(주),00112378,000040,노성석,319,19170917,,1601110007032,3058100020
(주)이엔플러스,00469799,074610,최용인,29193,20031203,,1355110144291,1348608314
(주)남성,00172185,004270,윤성호,467,19650610,,1101110054760,1138107079
롯데칠성음료(주),00120571,005300,박윤기,11209,19671129,https://company.lottechilsung.co.kr/kor/invest/irreport/list.do,1101110003684,2148107770
삼성전자(주),00126380,005930,전영현,264,19690113,,1301110006246,1248100998
한화에어로스페이스(주),00126566,012450,"김동관, 손재일, Michael Coulter",31321,19770801,,1942110000480,6098102992
삼호개발(주),00128980,010960,"심재범, 이영열",421,19760115,,1101110190340,2208114806
롯데케미칼(주),00165413,011170,"신동빈, 이영준, 황민재",20111,19760316,www.lottechem.com/ko/ir/ir_activity.do,1101110193196,1188115012
(주)LG유플러스,00231363,032640,홍범식,61220,19960711,,1101111296676,2208139938
(주)신세계푸드,00274933,031440,강승협,56130,19791011,,1101110305288,2158147377
씨제이씨지브이(주),00303873,079160,정종민,59141,19990330,,1101111673220,1048145690
한미반도체(주),00161383,042700,곽동신,29271,19801224,,1201110038423,1378102051
전진건설로봇(주),00372129,079900,고현국,292,19991112,,1101111807910,1148192507
스틱인베스트먼트(주),00117498,026890,"곽동걸, 강신우",64201,19820624,,1243110008204,1348107979
국도화학(주),00104388,007690,"이시창, 황문성",20111,19720222,,1101110126642,1198104497
일진디스플레이(주),00198697,020760,이우종,261,19940401,,1545110006076,3038110352
대원제약(주),00111999,003220,"백승열, BAEK JONATHAN IN",212,19610809,,1101110103955,2078136336
조선내화 주식회사,01770203,462520,최광철,2321,20230704,,2046110071943,2848102978
금호타이어(주),00481454,073240,정일택,221,20030630,https://www.kumhotire.com/ko/company/irdata/list.do,1101112810590,1018195610
주식회사 에코프로머티리얼즈,01311408,450080,김병훈,28202,20170426,,1717110132339,8108800647
