rcept_no,corp_cls,corp_code,corp_name,nmpr,jan_avrg_mendng_am,mendng_totamt,rm,stlm_dt
20250312000954,Y,00132804,성신양회,5,"149,000,000","747,000,000",-,2024-12-31
20241031000319,Y,01437186,ESR켄달스퀘어리츠,6,"9,500,000","57,000,000",기타비상무이사 1인 무보수,2024-05-31
20250218000559,Y,01437186,ESR켄달스퀘어리츠,6,"9,500,000","57,000,000",기타비상무이사 1인 무보수,2024-11-30
20250711000031,Y,00143262,우진아이엔에스,5,"196,349,000","981,743,000",-,2024-12-31
20250320000501,Y,00160861,한농화성,7,"160,757,000","1,125,300,000",-,2024-12-31
20250317000503,Y,00114093,덕성,6,"72,817,000","436,904,000",-,2024-12-31
20250318000960,Y,00415628,세진중공업,6,"556,751,000","3,340,503,000",-,2024-12-31
20250320001240,Y,00990165,아세아시멘트,9,"320,632,000","2,885,690,000",-,2024-12-31
20250515002269,Y,00165680,호텔신라,7,"497,000,000","3,354,000,000",-,2024-12-31
20250313001378,Y,00684714,풍산,7,"1,151,643,000","8,061,502,000",-,2024-12-31
20250311001190,Y,00126371,삼성전기,7,"468,000,000","3,276,000,000",-,2024-12-31
20250320000510,Y,00148993,하이트진로홀딩스,5,"88,000,000","441,000,000",-,2024-12-31
20250318001237,Y,00565154,이노션,7,"579,000,000","4,051,000,000",-,2024-12-31
20250318000532,Y,00593032,LF,7,"502,000,000","3,515,000,000",-　,2024-12-31
20250318000626,Y,00133511,SG세계물산,4,"206,809,000","827,234,000",-,2024-12-31
20250320001187,Y,00414601,유니퀘스트,7,"314,000,000","2,196,000,000",-,2024-12-31
20250328001604,Y,00416654,유엔젤,7,"138,514,000","969,601,000",-,2024-12-31
20250318000876,Y,01208885,경동도시가스,5,"210,961,000","1,054,804,000",-,2024-12-31
20250312000686,Y,00102140,경인전자,6,"11,229,000","673,738,000",-,2024-12-31
20250320001376,Y,00143527,경동인베스트,5,"176,497,000","882,483,000",-,2024-12-31
20250320001049,Y,00154055,태원물산,6,"63,850,000","383,100,000",-,2024-12-31
20250312000964,Y,00144164,SK가스,7,"684,000,000","4,791,000,000",-,2024-12-31
20250319000402,Y,00159564,한국주강,4,"181,868,750","727,475,000",-,2024-12-31
20250321001173,Y,00112165,디아이씨,4,"412,946,000","1,651,786,000",-,2024-12-31
20250312000116,Y,01316227,효성티앤씨,6,"157,000,000","783,000,000",-,2024-12-31
20250306000713,Y,00222532,LG헬로비전,6,"271,000,000","1,626,000,000",-,2024-12-31
20250319000892,Y,01478712,대덕전자,5,"255,000,000","1,276,000,000",-,2024-12-31
20250321001897,Y,00143314,에이엔피,5,"139,280,000","696,398,000",-,2024-12-31
20250312000788,Y,00138701,아세아,7,"314,306,000","2,200,140,000",-,2024-12-31
20250320001317,Y,00112022,대원화성,4,"43,000,000","174,000,000",-,2024-12-31
20250321001612,Y,00302926,현대로템,7,"585,000,000","4,092,000,000",-,2024-12-31
20250319000431,Y,00105299,금강공업,6,"444,178,000","2,665,068,000",-,2024-12-31
20250313001301,Y,00110893,대신증권,8,"738,000,000","5,906,000,000",-,2024-12-31
20250312001129,Y,01316236,효성화학,5,"173,000,000","864,000,000",-,2024-12-31
20250331003403,Y,00159102,DB손해보험,9,"261,428,000","2,352,849,000",-,2024-12-31
20250321001224,Y,00122898,벽산,5,"168,000,000","842,000,000",-,2024-12-31
